rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb,description_processed,topic,topic_confidence,predicted_topic,predicted_probability
15,Начало,2010,United Kingdom,"Боевики, Приключения, Научная фантастика","Вору, который крадет корпоративные секреты с помощью технологии обмена мечтами, предстоит обратная задача: внедрить идею в сознание генерального директора, но его трагическое прошлое может обречь проект на провал...Читать полностью",8.7,8.8,2800000,вор красть корпоративный секрет помощь технология обмен мечта предстоять обратный задача внедрить идея сознание генеральный директор трагический прошлое мочь обречь проект провал читать полностью,1,0.21585971679103533,1,0.5227017660520134
16,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,United States,"Боевик, Приключения, Фэнтези","После того, как Империя побеждает Альянс повстанцев, Люк Скайуокер начинает обучение у мастера-джедая Йоды, а Дарт Вейдер и охотник за головами Боба Фетт преследуют его друзей по всей галактике.",8.1,8.7,1500000,империя побеждать альянс повстанец люк скайуокер начинать обучение мастер джедай йод дарт вейдёр охотник голова боб фетта преследовать друг весь галактика,0,0.05115553554397953,0,0.6571089682481961
17,Матрица,1999,United States,"Боевик, Научная фантастика","Когда красивая незнакомка ведет компьютерного хакера Нео в неприступный преступный мир, он открывает шокирующую правду: жизнь, которую он знает, является тщательно продуманным обманом злого киберразведчика.",8.5,8.7,2200000,красивый незнакомка вести компьютерный хакер нео неприступный преступный мир открывать шокировать правда жизнь знать являться тщательно продумать обман злой киберразведчик,0,0.0793814146208175,0,0.747568970672022
18,Славные парни,1990,United States,"Биография, криминал, драма","История Генри Хилла и его жизни в мафии, освещающая его отношения с женой Карен и партнерами по мафии Джимми Конвеем и Томми ДеВито.",8.1,8.7,1400000,история генри хилл жизнь мафия освещать отношение жена карен партнёр мафия джимми конвеять томми девить,3,0.05732607959124865,0,0.5315495516602492
19,Интерстеллар,2014,United States,"приключения, драма, научная фантастика","Когда в будущем Земля станет непригодной для жизни, фермеру и бывшему пилоту НАСА Джозефу Куперу поручается пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",8.7,8.7,2500000,будущее земля стать непригодный жизнь фермер бывший пилот наса джозеф купер поручаться пилотировать космический корабль вместе команда исследователь найти планета человек,0,0.16204141567392152,0,0.7893149924862447
20,12-я неудача,2023,India,"Биография, Драма",Реальная история сотрудника IPS Маноджа Кумара Шармы и сотрудника IRS Шраддхи Джоши.,7.7,8.7,169000,реальный история сотрудник ips манодж кумар шарм сотрудник irs шраддх джоша,3,0.028866871360465854,3,0.5890877776673985
21,Молчание ягнят,1991,United States,"криминал, драма, ужасы","Молодой Ф.Б.И. Курсант должен получить помощь заключенного в тюрьму и манипулирующего убийцы-каннибала, чтобы помочь поймать другого серийного убийцу, сумасшедшего, который сдирает шкуру со своих жертв.",8.3,8.6,1700000,молодой курсант получить помощь заключить тюрьма манипулировать убийца каннибал помочь поймать серийный убийца сумасшедший сдирать шкура жертва,3,0.15567517669176564,3,0.7334520495989832
22,Зелёная миля,1999,United States,"криминал, драма, фэнтези","Охранник камеры смертников узнает, что находящийся под его опекой добрый великан обладает таинственным даром.",9.1,8.6,1600000,охранник камера смертник узнать находиться опека добрый великан обладать таинственный даром,0,0.03637758431906476,0,0.604804104037752
23,Звёздные войны: Эпизод 4 – Новая надежда,1977,США,"фантастика, боевик, фэнтези, приключения","Татуин. Планета-пустыня. Уже постаревший рыцарь Джедай Оби Ван Кеноби спасает молодого Люка Скайуокера, когда тот пытается отыскать пропавшего дроида. С этого момента Люк осознает свое истинное назначение: он один из рыцарей Джедай. В то время как гражданская война охватила галактику, а войска повстанцев ведут бои против сил злого Императора, к Люку и Оби Вану присоединяется отчаянный пилот-наемник Хан Соло, и в сопровождении двух дроидов, R2D2 и C-3PO, этот необычный отряд отправляется на поиски предводителя повстанцев – принцессы Леи. Героям предстоит отчаянная схватка с устрашающим Дартом Вейдером – правой рукой Императора и его секретным оружием – «Звездой Смерти».",8.1,8.6,1600000,татуин планета пустыня постареть рыцарь джедай обь ван кенобь спасать молодой люк скайуокер пытаться отыскать пропасть дроид момент люк осознать истинный назначение рыцарь джедай время гражданский война охватить галактика войско повстанец вести бой против сила злой император люк обь ван присоединяться отчаянный пилот наёмник хан соло сопровождение дроид необычный отряд отправляться поиск предводитель повстанец принцесса лей герой предстоять отчаянный схватка устрашать дарт вейдёр правый рука император секретный оружие звезда смерть,0,0.08832111594862177,0,0.7434442852726294
24,Эта замечательная жизнь,1946,United States,"Драма, Семейный, Фэнтези","Ангел послан с Небес, чтобы помочь отчаянно разочарованному бизнесмену осознать ценность своей жизни.",8.4,8.6,553000,ангел послать небо помочь отчаянно разочаровать бизнесмен осознать ценность жизнь,0,0.03488667077346432,0,0.6248800274808878
25,Пролетая над гнездом кукушки,1975,United States,Драма,"В 1963 году, штат Орегон, мятежного осужденного отправляют на обследование в психиатрическую больницу, и он призывает своих послушных товарищей лучше контролировать свою жизнь и бросить вызов тираническому начальнику...Читать полностью",8.5,8.6,1200000,год штат орегон мятежный осудить отправлять обследование психиатрический больница призывать послушный товарищ контролировать жизнь бросить вызов тиранический начальник читать полностью,1,0.2149466659224899,1,0.5195663053826802
26,Семь,1995,United States,"криминал, драма, мистика","Два детектива пытаются выследить серийного убийцу, который выбирает жертв по мотивам «Семи смертных грехов».",8.3,8.6,2000000,детектив пытаться выследить серийный убийца выбирать жертва мотив семь смертный грех,3,0.23330135735643912,3,0.8045986423553201
27,Семь самураев,1954,Japan,"Боевик, Драма","Фермеры из деревни, эксплуатируемой бандитами, нанимают для защиты опытного самурая, и он собирает к себе шесть других самураев.",8.2,8.6,400000,фермер деревня эксплуатировать бандит нанимать защита опытный самурай собирать шесть самурай,0,0.01931637862122522,0,0.6485117426447835
28,Спасти рядового Райана,1998,United States,"Драма, Военный","После высадки в Нормандии группа американских солдат отправляется в тыл врага, чтобы забрать десантника, товарищи которого погибли в бою.",8.2,8.6,1600000,высадка нормандия группа американский солдат отправляться тыл враг забрать десантник товарищ погибнуть бой,0,0.05073371994677613,0,0.6288198516368909
29,Город Бога,2002,Brazil,"криминал, драма","В трущобах Рио пути двух детей расходятся: один пытается стать фотографом, а другой — вором в законе.",8.0,8.6,867000,трущоба рио путь ребёнок расходиться пытаться стать фотограф вор закон,3,0.13227448233140257,3,0.6620581256814336
30,Жизнь прекрасна,1997,Italy,"комедия, драма, романтика","Когда непредубежденный еврейский официант и его сын становятся жертвами Холокоста, он использует идеальное сочетание воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",8.6,8.6,808000,непредубеждённый еврейский официант сын становиться жертва холокост использовать идеальный сочетание воля юмор воображение защитить сын опасность вокруг лагерь,3,0.1013527143953802,3,0.6272902830667695
31,Терминатор 2: Судный день,1991,United States,"Боевики, Приключения, Научная фантастика","Киборг из будущего, идентичный тому, которому не удалось убить Сару Коннор, теперь должен защитить ее десятилетнего сына Джона от еще более продвинутого и могущественного киборга.",8.4,8.6,1300000,киборг будущее идентичный удаться убить сара коннора защитить десятилетний сын джон продвинуть могущественный киборг,0,0.041181588063376094,0,0.48551018968207066
32,Звёздные войны,1977,United States,"Боевик, Приключения, Фэнтези","Фермерский мальчик объединяет усилия с различными союзниками, чтобы спасти свою галактику от разрушающей планеты боевой станции злой Империи, а также спасти принцессу, возглавляющую восстание против них.",8.1,8.6,1600000,фермерский мальчик объединять усилие различный союзник спасти галактика разрушать планета боевой станция злой империя также спасти принцесса возглавлять восстание против,0,0.04649977262299391,0,0.6405826942622345
33,Унесённые призраками,2001,Japan,"Анимация, Приключения, Семейный","Во время переезда своей семьи в пригород угрюмая 10-летняя девочка попадает в мир, которым правят боги, ведьмы и духи, и где люди превращаются в зверей.",8.6,8.6,959000,время переезд семья пригород угрюмый летний девочка попадать мир править бог ведьма дух человек превращаться зверь,0,0.07077838957775963,0,0.6329766741855873
34,Харакири,1962,Japan,"Драма, Мистика","Когда ронину, запрашивающему сеппуку во дворце феодала, рассказывают о жестоком самоубийстве другого ронина, который ранее посещал его, он раскрывает, как переплетено их прошлое - и при этом...Читать полностью",8.2,8.6,90000,ронина запрашивать сеппук дворец феодал рассказывать жестокий самоубийство ронина ранее посещать раскрывать переплести прошлое читать полностью,1,0.32647501106102006,1,0.7195429935475909
35,Да прольётся свет,2021,India,"криминал, драма","Когда мужчину из племени арестовывают по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь восстановить справедливость.",7.5,8.6,233000,мужчина племя арестовывать дело предполагать кража жена обращаться адвокат право человек помочь восстановить справедливость,0,0.04608836921042008,0,0.6810614596836329
36,Джанго освобождённый,2012,United States,"Драма, Вестерн",С помощью немецкого охотника за головами освобожденный раб намеревается спасти свою жену от жестокого владельца плантации в Миссисипи.,8.3,8.5,1900000,помощь немецкий охотник голова освободить раб намереваться спасти жена жестокий владелец плантация миссисипи,2,0.04225893517334668,0,0.5211308767515538
37,Американская история X,1998,США,"драма, криминал","Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте, он беспощадно расправляется с теми, кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни, который уже тоже сделал свой выбор.
Но совершённое Дереком зверское убийство двух чернокожих парней разделяет дороги братьев: Дерек оказывается в тюрьме, где существует свой расклад сил, а Дэнни на свободе успешно продолжает дело брата. До тех пор, пока их пути не пересекаются вновь.",8.3,8.5,1300000,лидер местный банда скинхед дерек виньярд прочно удерживать авторитет сво район убежда нный правота беспощадно расправляться иметь белый цвет кожа независимость смелость дерек вызывать восхищение младший брат дэнни сделать выбор соверша нной дерек зверский убийство чернокожий парень разделять дорога брат дерек оказываться тюрьма существовать расклад сила дэнни свобода успешно продолжать дело брат пора пока путь пересекаться вновь,3,0.07493819173403628,3,0.5715543055106427
38,Одержимость,2013,США,"драма, музыка","Эндрю мечтает стать великим. Казалось бы, вот-вот его мечта осуществится. Юношу замечает настоящий гений, дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью, а безжалостный наставник продолжает подталкивать его все дальше и дальше – за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?",8.4,8.5,1100000,эндрю мечтать стать великий казаться мечта осуществиться юноша замечать настоящий гений дирижёр страна оркестр желание эндрю добиться успех быстро становиться одержимость безжалостный наставник продолжать подталкивать далёкий далёкий предел человеческий возможность выйти победитель схватка,0,0.0644950334708458,0,0.567807433040225
39,Кашмирские файлы,2022,Индия,драма,"«Кашмирские файлы» — это история, основанная на видеоинтервью первого поколения жертв геноцида кашмирской общины пандитов в 1990 году.",0.0,8.5,579000,кашмирский файл история основать видеоинтервью поколение жертва геноцид кашмирский община пандит год,3,0.23097706333952472,3,0.7822335743425073
40,Назад в будущее,1985,United States,"приключения, комедия, научная фантастика","Марти МакФлай, 17-летний ученик средней школы, случайно отправляется на 30 лет в прошлое на путешествующем во времени ДеЛореане, изобретенном его близким другом, ученым-индивидуалистом Доком Брауном.",8.6,8.5,1400000,марти макфлай летний ученик средний школа случайно отправляться год прошлое путешествовать время делореана изобрести близкие друг учёный индивидуалист док браун,3,0.09099247815642568,3,0.5886213605567866
41,Пианист,2002,France,"Биография, Драма, Музыка","Во время Второй мировой войны известный польский музыкант Владислав сталкивается с различными трудностями, поскольку теряет связь со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",8.5,8.5,1000000,время второй мировой война известный польский музыкант владислав сталкиваться различный трудность поскольку терять связь семья ситуация ухудшаться прятаться руина варшава выжить,2,0.3934294386963841,0,0.3182240121004876
42,Гладиатор,2000,United States,"Боевик, Приключения, Драма","Бывший римский генерал намеревается отомстить коррумпированному императору, который убил его семью и отправил его в рабство.",8.6,8.5,1800000,бывший римский генерал намереваться отомстить коррумпировать император убить семья отправить рабство,3,0.07018324183866961,3,0.4791202744843638
43,Паразиты,2019,South Korea,"Драма, Триллер",Жадность и классовая дискриминация угрожают вновь сформировавшимся симбиотическим отношениям между богатой семьей Пак и обездоленным кланом Кимов.,8.1,8.5,1149421,жадность классовый дискриминация угрожать вновь сформироваться симбиотический отношение богатый семья пак обездолить клан ким,0,0.03743781188156104,0,0.6102994433807253
44,Могила светлячков,1988,Japan,"Анимация, Драма, Военный",Маленький мальчик и его младшая сестра борются за выживание в Японии во время Второй мировой войны.,8.2,8.5,380000,мальчик младший сестра бороться выживание япония время второй мировой война,2,0.4578480439464755,2,0.48667740389763237
45,Психо,1960,United States,"Драма, Ужасы, Мистика","Секретарь, скрывающийся от растраты, укрывается в уединенном калифорнийском мотеле, принадлежащем репрессированному мужчине и его властной матери.",8.1,8.5,782000,секретарь скрываться растрата укрываться уединённый калифорнийский мотель принадлежать репрессированный мужчина властный мать,3,0.03428213480548654,0,0.46391814466371223
46,Король лев,1994,United States,"Анимация, Приключения, Драма","Принц-лев Симба и его отец стали целью его ожесточенного дяди, который хочет сам взойти на трон.",8.8,8.5,1300000,принц лев симб отец стать цель ожесточённый дядя хотеть взойти трон,0,0.04097364141961193,0,0.6209599639987489
47,Отступники,2006,United States,"криминал, драма, триллер","Полицейский под прикрытием и крот в полиции пытаются опознать друг друга, проникая в ирландскую банду в Южном Бостоне.",8.5,8.5,1500000,полицейский прикрытие крот полиция пытаться опознать друг друг проникать ирландский банда южный бостон,3,0.15633580362414365,3,0.6657066269807631
48,Престиж,2006,United Kingdom,"Драма, Мистика, Научная фантастика","Два друга и коллеги-волшебника становятся заклятыми врагами после внезапной трагедии. Посвятив себя этому соперничеству, они приносят жертвы, которые приносят им славу, но с ужасными последствиями...Читать полностью",8.5,8.5,1600000,друг коллега волшебник становиться заклятый враг внезапный трагедия посвятить соперничество приносить жертва приносить слава ужасный последствие читать полностью,1,0.19418991376525946,1,0.4959503232491249
49,Леон,1994,France,"Боевик, Криминал, Драма","Когда ее семью убивает группа коррумпированных офицеров во главе с тираном Норманом Стэнсфилдом, 12-летняя девочка прибегает к помощи итальянско-американского киллера, чтобы отомстить.",8.7,8.5,1300000,семья убивать группа коррумпировать офицер глава тиран норман стэнсфилд летний девочка прибегать помощь итальянско американский киллер отомстить,3,0.0980677133867398,3,0.6523275234866328
50,Человек-паук: Паутина вселенных,2023,United States,"Анимация, Боевик, Приключения","Путешествуя по мультивселенной, Майлз Моралес встречает новую команду Людей-Пауков, состоящую из героев из разных измерений. Но когда герои спорят о том, как справиться с новой угрозой, М...Читать полностью",8.3,8.5,514000,путешествовать мультивселенная майлз моралеса встречать команда человек паук состоять герой разный измерение герой спорить справиться угроза читать полностью,1,0.1751628396258132,1,0.46857816452129436
51,Новый кинотеатр «Парадизо»,1988,Italy,"Драма, Романтика","Сальваторе, известный кинорежиссер, возвращается в свой родной город на похороны киномеханика местного театра Альфредо. Он вспоминает свою жизнь, когда мальчиком влюбился в...Читать полностью",8.1,8.5,316000,сальватор известный кинорежиссёр возвращаться родный город похороны киномеханик местный театр альфредо вспоминать жизнь мальчик влюбиться читать полностью,1,0.2786050690325071,1,0.642610859502527
52,Касабланка,1942,United States,"Драма, Романтика, Военный","Циничный американский владелец кафе-эмигрант из Америки пытается решить, стоит ли помогать его бывшей возлюбленной и ее беглому мужу сбежать от нацистов во Французском Марокко.",8.0,8.5,653000,циничный американский владелец кафе эмигрант америка пытаться решить стоить помогать бывший возлюбить беглый муж сбежать нацист французский марокко,3,0.1283700474915495,3,0.6287705311995379
53,1+1,2011,France,"Комедия, Драма","После того, как он стал парализованным из-за несчастного случая при полете на параплане, аристократ нанимает молодого человека из проекта в качестве его опекуна.",8.9,8.5,1000000,стать парализовать несчастный случай полёт параплан аристократ нанимать молодой человек проект качество опекун,0,0.09282789127756984,0,0.7007793354744573
54,Подозрительные лица,1995,United States,"криминал, драма, мистика","Единственный выживший в перестрелке на пирсе рассказывает историю о том, как известный преступник повлиял на события, которые начались с того, что пять преступников встретились в, казалось бы, случайном порядке полицейских.",7.8,8.5,1200000,единственный выжить перестрелка пирс рассказывать история известный преступник повлиять событие начаться пять преступник встретиться казаться случайный порядок полицейский,3,0.10712157259531187,3,0.5133400636861777
55,Чужой,1979,United Kingdom,"Ужасы, Научная фантастика","Расследуя загадочную передачу неизвестного происхождения, экипаж коммерческого космического корабля сталкивается со смертельной формой жизни.",8.1,8.5,1100000,расследовать загадочный передача неизвестный происхождение экипаж коммерческий космический корабль сталкиваться смертельный форма жизнь,0,0.054971902902037684,0,0.6009421436039907
56,Окно во двор,1954,United States,"Драма, Мистика, Триллер","Скучающий фотограф, восстанавливающийся после перелома ноги, коротает время, наблюдая за своими соседями, и начинает подозревать одного из них в убийстве.",8.0,8.5,566000,скучать фотограф восстанавливаться перелом нога коротать время наблюдать сосед начинать подозревать убийство,3,0.15101830416112755,3,0.6857700352846745
57,Новые времена,1936,United States,"комедия, драма, романтика",Бродяга изо всех сил пытается выжить в современном индустриальном обществе с помощью молодой бездомной женщины.,8.1,8.5,284000,бродяга весь сила пытаться выжить современный индустриальный общество помощь молодой бездомный женщина,3,0.13464980812177696,3,0.506230779464417
58,Однажды на Диком Западе,1968,Italy,"Драма, Вестерн","Таинственный незнакомец с губной гармошкой объединяется с известным отчаянным человеком, чтобы защитить прекрасную вдову и ее землю от безжалостного убийцы, нанятого железнодорожным магнатом.",8.0,8.5,382000,таинственный незнакомец губный гармошка объединяться известный отчаянный человек защитить прекрасный вдова земля безжалостный убийца нанять железнодорожный магнат,0,0.06161527397308602,0,0.6425006727709728
59,Огни большого города,1931,United States,"комедия, драма, романтика","С помощью богатого и эксцентричного пьяницы бродяга с розовыми глазами, влюбившийся в слепую цветочницу, накапливает деньги, чтобы помочь ей с медицинской точки зрения.",8.5,8.5,216000,помощь богатый эксцентричный пьяница бродяга розовый глаз влюбиться слепой цветочница накапливать деньга помочь медицинский точка зрение,3,0.034429001094858,0,0.49790275547648255
