rank,title,year,country,genres,description
13,Fight Club,1999,United States,"Crime, Drama, Thriller",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
14,Inception,2010,United Kingdom,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the projec...Read all"
15,Star Wars: Episode V - The Empire Strikes Back,1980,United States,"Action, Adventure, Fantasy","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
16,The Matrix,1999,United States,"Action, Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,GoodFellas,1990,United States,"Biography, Crime, Drama","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
18,Interstellar,2014,United States,"Adventure, Drama, Sci-Fi","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,One Flew Over the Cuckoo's Nest,1975,United States,Drama,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nu...Read all"
20,Seven,1995,United States,"Crime, Drama, Mystery",Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.
21,It's a Wonderful Life,1946,United States,"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.
22,The Silence of the Lambs,1991,United States,"Crime, Drama, Horror","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
23,Seven Samurai,1954,Japan,"Action, Drama","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
24,Saving Private Ryan,1998,United States,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action."
25,The Green Mile,1999,United States,"Crime, Drama, Fantasy",A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
26,City of God,2002,Brazil,"Crime, Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
27,Life Is Beautiful,1997,Italy,"Comedy, Drama, Romance","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
28,Terminator 2: Judgment Day,1991,United States,"Action, Adventure, Sci-Fi","A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg."
29,Back to the Future,1985,United States,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
30,Star Wars: Episode IV - A New Hope,1977,United States,"Action, Adventure, Fantasy","A farmboy joins forces with various allies to save their galaxy from the evil Empire's planet-destroying battle station, while also rescuing the princess leading the rebellion against them."
31,Spirited Away,2001,Japan,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
32,The Pianist,2002,France,"Biography, Drama, Music","During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
33,Gladiator,2000,United States,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
34,Parasite,2019,South Korea,"Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
35,Grave of the Fireflies,1988,Japan,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.
36,Kill Bill: The Whole Bloody Affair,2004,United States,"Action, Crime, Thriller","A female assassin seeks revenge on her former lover and squad members, all of whom left her for dead."
37,Psycho,1960,United States,"Drama, Horror, Mystery",A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
38,The Lion King,1994,United States,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
39,Harakiri,1962,Japan,"Drama, Mystery","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ...Read all"
40,The Departed,2006,United States,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
41,Whiplash,2014,United States,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
42,The Prestige,2006,United Kingdom,"Drama, Mystery, Sci-Fi","Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequ...Read all"
43,American History X,1998,United States,"Crime, Drama",A European-American man is released from prison and now a changed man and hopes to prevent his younger brother from following in his footsteps.
44,Léon: The Professional,1994,France,"Action, Crime, Drama","When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge."
45,Spider-Man: Across the Spider-Verse,2023,United States,"Animation, Action, Adventure","Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, M...Read all"
46,Cinema Paradiso,1988,Italy,"Drama, Romance","Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love wit...Read all"
47,Casablanca,1942,United States,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
48,The Intouchables,2011,France,"Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
49,The Usual Suspects,1995,United States,"Crime, Drama, Mystery",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
50,Django Unchained,2012,United States,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
51,Alien,1979,United Kingdom,"Horror, Sci-Fi","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
52,Rear Window,1954,United States,"Drama, Mystery, Thriller",A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
53,Modern Times,1936,United States,"Comedy, Drama, Romance",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
54,Once Upon a Time in the West,1968,Italy,"Drama, Western",A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.
55,City Lights,1931,United States,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a blind flower girl accumulates money to be able to help her medically."
56,Apocalypse Now,1979,United States,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
57,WALL·E,2008,United States,"Animation, Adventure, Family","A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
58,Memento,2000,United States,"Drama, Mystery, Thriller",A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.
59,Dune: Part Two,2024,United States,"Action, Adventure, Drama",Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the univers...Read all
60,Raiders of the Lost Ark,1981,United States,"Action, Adventure","In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first."
61,Avengers: Infinity War,2018,United States,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
62,The Lives of Others,2006,Germany,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
63,Spider-Man: Into the Spider-Verse,2018,Canada,"Animation, Action, Adventure",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
64,Sunset Boulevard,1950,United States,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
65,Witness for the Prosecution,1957,United States,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
66,Paths of Glory,1957,United States,"Drama, War",A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
67,The Shining,1980,United Kingdom,"Drama, Horror","A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the...Read all"
68,The Great Dictator,1940,United States,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
69,Inglourious Basterds,2009,United States,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
70,12th Fail,2023,India,"Biography, Drama",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
71,Aliens,1986,United Kingdom,"Action, Adventure, Horror","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
72,High and Low,1963,Japan,"Crime, Drama, Mystery",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
73,Avengers: Endgame,2019,United States,"Action, Adventure, Sci-Fi","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...Read all"
74,Good Will Hunting,1997,United States,"Drama, Romance","A therapist counsels Will Hunting, a janitor with a genius IQ."
75,The Dark Knight Rises,2012,United Kingdom,"Action, Crime, Drama","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
76,Coco,2017,United States,"Animation, Adventure, Drama","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
77,Amadeus,1984,United States,"Biography, Drama, Music","The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri."
78,Toy Story,1995,United States,"Animation, Adventure, Comedy","A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put ...Read all"
79,Your Name.,2016,Japan,"Animation, Drama, Fantasy","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
80,Das Boot,1981,West Germany,"Drama, War",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
81,Braveheart,1995,United States,"Biography, Drama, War",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
82,Oldboy,2003,South Korea,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
83,Princess Mononoke,1997,Japan,"Animation, Adventure, Fantasy","While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at not...Read all"
84,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,United Kingdom,"Comedy, War","A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantic...Read all"
85,3 Idiots,2009,India,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...Read all"
86,American Beauty,1999,United States,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
87,Capernaum,2018,Lebanon,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
88,Singin' in the Rain,1952,United States,"Comedy, Musical, Romance",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
89,Project Hail Mary,2026,United States,"Adventure, Comedy, Sci-Fi","A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun and that an unexpected friendship may be the ...Read all"
90,Joker,2019,United States,"Crime, Drama, Thriller","Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrac...Read all"
91,Once Upon a Time in America,1984,Italy,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
92,Star Wars: Episode VI - Return of the Jedi,1983,United States,"Action, Adventure, Fantasy","After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
93,Come and See,1985,Soviet Union,"Drama, Thriller, War","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
94,Requiem for a Dream,2000,United States,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
95,Toy Story 3,2010,United States,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...Read all"
96,Ikiru,1952,Japan,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
97,The Hunt,2012,Denmark,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...Read all"
98,Incendies,2010,Canada,"Drama, Mystery, War",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
99,Eternal Sunshine of the Spotless Mind,2004,United States,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
100,The Apartment,1960,United States,"Comedy, Drama, Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
101,Lawrence of Arabia,1962,United Kingdom,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
102,Heat,1995,United States,"Action, Crime, Drama",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
103,Scarface,1983,United States,"Crime, Drama","In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
104,2001: A Space Odyssey,1968,United Kingdom,"Adventure, Sci-Fi","When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
105,Reservoir Dogs,1992,United States,"Crime, Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
106,Up,2009,United States,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
107,Double Indemnity,1944,United States,"Crime, Drama, Film-Noir","An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
108,North by Northwest,1959,United States,"Adventure, Drama, Mystery","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
109,Like Stars on Earth,2007,India,"Drama, Family",A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
110,Full Metal Jacket,1987,United Kingdom,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
111,M,1931,Germany,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
112,Amélie,2001,France,"Comedy, Romance","Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
113,Citizen Kane,1941,United States,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
114,Vertigo,1958,United States,"Mystery, Romance, Thriller","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...Read all"
115,A Separation,2011,Iran,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...Read all
116,Die Hard,1988,United States,"Action, Thriller",A New York City cop tries to save his wife and several others taken hostage by terrorists during a Christmas party in a Los Angeles skyscraper.
117,To Kill a Mockingbird,1962,United States,"Crime, Drama",A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
118,Indiana Jones and the Last Crusade,1989,United States,"Action, Adventure","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
119,The Sting,1973,United States,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.
120,A Clockwork Orange,1971,United Kingdom,"Crime, Sci-Fi",Alex DeLarge and his droogs barbarize a decaying near-future.
121,Metropolis,1927,Germany,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a...Read all"
122,1917,2019,United Kingdom,"Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...Read all"
123,Snatch,2000,United Kingdom,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
124,The Wolf of Wall Street,2013,United States,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
125,L.A. Confidential,1997,United States,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
126,Downfall,2004,Germany,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
127,The Truman Show,1998,United States,"Comedy, Drama",An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
128,Dangal,2016,India,"Action, Biography, Drama","Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social...Read all"
129,Bicycle Thieves,1948,Italy,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
130,Green Book,2018,United States,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
131,Shutter Island,2010,Canada,"Drama, Mystery, Thriller",Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
132,Oppenheimer,2023,United States,"Biography, Drama, History","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
133,Judgment at Nuremberg,1961,United States,"Drama, History, War","Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Na...Read all"
134,I Swear,2025,United Kingdom,"Biography, Drama","John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed."
135,Batman Begins,2005,United States,"Action, Crime, Drama","After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends...Read all"
136,Hamilton,2020,United States,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi...Read all"
137,For a Few Dollars More,1965,Italy,"Drama, Western",Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
138,Jurassic Park,1993,United States,"Action, Adventure, Sci-Fi","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in...Read all"
139,Taxi Driver,1976,United States,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
140,Some Like It Hot,1959,United States,"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
141,There Will Be Blood,2007,United States,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
142,The Father,2020,United Kingdom,"Drama, Mystery","A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of hi...Read all"
143,The Kid,1921,United States,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
144,All About Eve,1950,United States,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
145,The Sixth Sense,1999,United States,"Drama, Mystery, Thriller","After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret."
146,Ran,1985,Japan,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...Read all"
147,Casino,1995,United States,"Crime, Drama","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
148,No Country for Old Men,2007,United States,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
149,The Thing,1982,United States,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
150,Prisoners,2013,United States,"Crime, Drama, Mystery",A desperate father takes the law into his own hands after police fail to find two kidnapped girls.
151,Top Gun: Maverick,2022,United States,"Action, Drama","The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
152,Kill Bill: Vol. 1,2003,United States,"Action, Crime, Thriller","After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
153,Pan's Labyrinth,2006,Mexico,"Drama, Fantasy, War","In 1944 Francoist Spain, an imaginative young girl meets a faun who tells her she's a princess and that she must prove her worthiness by completing three dangerous tasks."
154,Unforgiven,1992,United States,"Drama, Western","Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Ki...Read all"
155,A Beautiful Mind,2001,United States,"Biography, Drama, Mystery","A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But Nash soon found himself on a harrowing journey of self...Read all"
156,Attack on Titan: The Last Attack,2024,Japan,"Animation, Action, Adventure","The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army ...Read all"
157,Howl's Moving Castle,2004,Japan,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...Read all"
158,The Treasure of the Sierra Madre,1948,United States,"Adventure, Drama, Western",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
159,Finding Nemo,2003,United States,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
160,Klaus,2019,Spain,"Animation, Adventure, Comedy","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...Read all"
161,Yojimbo,1961,Japan,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
162,The Great Escape,1963,United States,"Adventure, Drama, Thriller",Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat o...Read all
163,The Elephant Man,1980,United States,"Biography, Drama","A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication."
164,Monty Python and the Holy Grail,1975,United Kingdom,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
165,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,Japan,"Animation, Action, Adventure","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji be...Read all"
166,Dial M for Murder,1954,United States,"Crime, Drama, Mystery","A London playboy plots the perfect murder of his rich, unfaithful wife."
167,The Secret in Their Eyes,2009,Argentina,"Drama, Mystery, Romance",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior--both of which still haunt him...Read all
168,The Best of Youth,2003,Italy,"Drama, Romance",An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
