rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb
18,Звёздные войны: Эпизод 5 – Империя наносит ответный удар,1980,США,"фантастика, боевик, фэнтези, приключения","Борьба за Галактику обостряется в пятом эпизоде космической саги. Войска Императора начинают массированную атаку на повстанцев и их союзников.

Хан Соло и принцесса Лейя укрываются в Заоблачном Городе, в котором их и захватывает Дарт Вейдер, в то время как Люк Скайуокер находится на таинственной планете джунглей Дагоба.

Там Мастер - джедай Йода обучает молодого рыцаря навыкам обретения Силы. Люк даже не предполагает, как скоро ему придется воспользоваться знаниями старого Мастера: впереди битва с превосходящими силами Императора и смертельный поединок с Дартом Вейдером.",8.1,8.7,1500000
19,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,United States,"Боевик, Приключения, Фэнтези","После того, как Империя побеждает Альянс повстанцев, Люк Скайуокер начинает обучение у мастера-джедая Йоды, а Дарт Вейдер и охотник за головами Боба Фетт преследуют его друзей по всей галактике.",8.1,8.7,1500000
20,Матрица,1999,United States,"Боевик, Научная фантастика","Когда красивая незнакомка ведет компьютерного хакера Нео в неприступный преступный мир, он открывает шокирующую правду: жизнь, которую он знает, является тщательно продуманным обманом злого киберразведчика.",8.5,8.7,2200000
21,Славные парни,1990,United States,"Биография, криминал, драма","История Генри Хилла и его жизни в мафии, освещающая его отношения с женой Карен и партнерами по мафии Джимми Конвеем и Томми ДеВито.",8.1,8.7,1400000
22,Интерстеллар,2014,United States,"приключения, драма, научная фантастика","Когда в будущем Земля станет непригодной для жизни, фермеру и бывшему пилоту НАСА Джозефу Куперу поручается пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",8.7,8.7,2500000
23,12-я неудача,2023,India,"Биография, Драма",Реальная история сотрудника IPS Маноджа Кумара Шармы и сотрудника IRS Шраддхи Джоши.,7.7,8.7,169000
24,Молчание ягнят,1990,США,"триллер, детектив, криминал, драма, ужасы","Психопат похищает и убивает молодых женщин по всему Среднему Западу. ФБР, уверенное, что все преступления совершены одним и тем же человеком, поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком Ганнибалом Лектером, который мог бы помочь составить психологический портрет убийцы. Сам Лектер отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае, если она попотчует его больное воображение подробностями своей личной жизни.",8.3,8.6,1700000
25,Зеленая миля,1999,США,"драма, фэнтези, криминал","Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",9.1,8.6,1600000
26,Звёздные войны: Эпизод 4 – Новая надежда,1977,США,"фантастика, боевик, фэнтези, приключения","Татуин. Планета-пустыня. Уже постаревший рыцарь Джедай Оби Ван Кеноби спасает молодого Люка Скайуокера, когда тот пытается отыскать пропавшего дроида. С этого момента Люк осознает свое истинное назначение: он один из рыцарей Джедай. В то время как гражданская война охватила галактику, а войска повстанцев ведут бои против сил злого Императора, к Люку и Оби Вану присоединяется отчаянный пилот-наемник Хан Соло, и в сопровождении двух дроидов, R2D2 и C-3PO, этот необычный отряд отправляется на поиски предводителя повстанцев – принцессы Леи. Героям предстоит отчаянная схватка с устрашающим Дартом Вейдером – правой рукой Императора и его секретным оружием – «Звездой Смерти».",8.1,8.6,1600000
27,Эта замечательная жизнь,1947,США,"фэнтези, драма, мелодрама, семейный","Джордж Бейли, житель небольшого провинциального городка, всегда хотел повидать мир, но обстоятельства не давали ему покинуть родные места. Он жертвовал собой ради других, копил каждый цент, чтобы содержать семью, брал взаймы и защищал городок от злого банкира Поттера. И вот, в канун Рождества, расстроенный бесчисленными проблемами и терзаемый мыслями, что лучше бы и вовсе не рождаться, Джордж решается на отчаянный поступок. Но именно в этот момент к нему приходит ангел, чтобы показать мужчине, какой была бы жизнь, если бы он не родился.",8.4,8.6,553000
28,Пролетая над гнездом кукушки,1975,United States,Драма,"В 1963 году, штат Орегон, мятежного осужденного отправляют на обследование в психиатрическую больницу, и он призывает своих послушных товарищей лучше контролировать свою жизнь и бросить вызов тираническому начальнику...Читать полностью",8.5,8.6,1200000
29,Семь,1995,United States,"криминал, драма, мистика","Два детектива пытаются выследить серийного убийцу, который выбирает жертв по мотивам «Семи смертных грехов».",8.3,8.6,2000000
30,Семь самураев,1954,Japan,"Боевик, Драма","Фермеры из деревни, эксплуатируемой бандитами, нанимают для защиты опытного самурая, и он собирает к себе шесть других самураев.",8.2,8.6,400000
31,Спасти рядового Райана,1998,United States,"Драма, Военный","После высадки в Нормандии группа американских солдат отправляется в тыл врага, чтобы забрать десантника, товарищи которого погибли в бою.",8.2,8.6,1600000
32,Зелёная миля,1999,United States,"криминал, драма, фэнтези","Охранник камеры смертников узнает, что находящийся под его опекой добрый великан обладает таинственным даром.",9.1,8.6,1600000
33,Город Бога,2002,Brazil,"криминал, драма","В трущобах Рио пути двух детей расходятся: один пытается стать фотографом, а другой — вором в законе.",8.0,8.6,867000
34,Жизнь прекрасна,1997,Italy,"комедия, драма, романтика","Когда непредубежденный еврейский официант и его сын становятся жертвами Холокоста, он использует идеальное сочетание воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",8.6,8.6,808000
35,Терминатор 2: Судный день,1991,United States,"Боевики, Приключения, Научная фантастика","Киборг из будущего, идентичный тому, которому не удалось убить Сару Коннор, теперь должен защитить ее десятилетнего сына Джона от еще более продвинутого и могущественного киборга.",8.4,8.6,1300000
36,Звёздные войны,1977,United States,"Боевик, Приключения, Фэнтези","Фермерский мальчик объединяет усилия с различными союзниками, чтобы спасти свою галактику от разрушающей планеты боевой станции злой Империи, а также спасти принцессу, возглавляющую восстание против них.",8.1,8.6,1600000
37,Унесённые призраками,2001,Japan,"Анимация, Приключения, Семейный","Во время переезда своей семьи в пригород угрюмая 10-летняя девочка попадает в мир, которым правят боги, ведьмы и духи, и где люди превращаются в зверей.",8.6,8.6,959000
38,Харакири,1962,Japan,"Драма, Мистика","Когда ронину, запрашивающему сеппуку во дворце феодала, рассказывают о жестоком самоубийстве другого ронина, который ранее посещал его, он раскрывает, как переплетено их прошлое - и при этом...Читать полностью",8.2,8.6,90000
39,Да прольётся свет,2021,India,"криминал, драма","Когда мужчину из племени арестовывают по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь восстановить справедливость.",7.5,8.6,233000
40,Джанго освобожденный,2012,США,"вестерн, боевик, драма, комедия","Шульц — эксцентричный охотник за головами, который выслеживает и отстреливает самых опасных преступников. Он освобождает раба по имени Джанго, поскольку тот может помочь ему в поисках трёх бандитов. Джанго знает этих парней в лицо, ведь у него с ними свои счёты.",8.3,8.5,1900000
41,Американская история X,1998,США,"драма, криминал","Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте, он беспощадно расправляется с теми, кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни, который уже тоже сделал свой выбор.
Но совершённое Дереком зверское убийство двух чернокожих парней разделяет дороги братьев: Дерек оказывается в тюрьме, где существует свой расклад сил, а Дэнни на свободе успешно продолжает дело брата. До тех пор, пока их пути не пересекаются вновь.",8.3,8.5,1300000
42,Одержимость,2013,США,"драма, музыка","Эндрю мечтает стать великим. Казалось бы, вот-вот его мечта осуществится. Юношу замечает настоящий гений, дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью, а безжалостный наставник продолжает подталкивать его все дальше и дальше – за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?",8.4,8.5,1100000
43,Кашмирские файлы,2022,Индия,драма,"«Кашмирские файлы» — это история, основанная на видеоинтервью первого поколения жертв геноцида кашмирской общины пандитов в 1990 году.",0,8.5,579000
44,Назад в будущее,1985,United States,"приключения, комедия, научная фантастика","Марти МакФлай, 17-летний ученик средней школы, случайно отправляется на 30 лет в прошлое на путешествующем во времени ДеЛореане, изобретенном его близким другом, ученым-индивидуалистом Доком Брауном.",8.6,8.5,1400000
45,Пианист,2002,France,"Биография, Драма, Музыка","Во время Второй мировой войны известный польский музыкант Владислав сталкивается с различными трудностями, поскольку теряет связь со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",8.5,8.5,1000000
46,Гладиатор,2000,United States,"Боевик, Приключения, Драма","Бывший римский генерал намеревается отомстить коррумпированному императору, который убил его семью и отправил его в рабство.",8.6,8.5,1800000
47,Паразиты,2019,South Korea,"Драма, Триллер",Жадность и классовая дискриминация угрожают вновь сформировавшимся симбиотическим отношениям между богатой семьей Пак и обездоленным кланом Кимов.,8.1,8.5,1149421
48,Могила светлячков,1988,Japan,"Анимация, Драма, Военный",Маленький мальчик и его младшая сестра борются за выживание в Японии во время Второй мировой войны.,8.2,8.5,380000
49,Психо,1960,United States,"Драма, Ужасы, Мистика","Секретарь, скрывающийся от растраты, укрывается в уединенном калифорнийском мотеле, принадлежащем репрессированному мужчине и его властной матери.",8.1,8.5,782000
50,Король лев,1994,United States,"Анимация, Приключения, Драма","Принц-лев Симба и его отец стали целью его ожесточенного дяди, который хочет сам взойти на трон.",8.8,8.5,1300000
51,Отступники,2006,United States,"криминал, драма, триллер","Полицейский под прикрытием и крот в полиции пытаются опознать друг друга, проникая в ирландскую банду в Южном Бостоне.",8.5,8.5,1500000
52,Престиж,2006,United Kingdom,"Драма, Мистика, Научная фантастика","Два друга и коллеги-волшебника становятся заклятыми врагами после внезапной трагедии. Посвятив себя этому соперничеству, они приносят жертвы, которые приносят им славу, но с ужасными последствиями...Читать полностью",8.5,8.5,1600000
53,Леон,1994,France,"Боевик, Криминал, Драма","Когда ее семью убивает группа коррумпированных офицеров во главе с тираном Норманом Стэнсфилдом, 12-летняя девочка прибегает к помощи итальянско-американского киллера, чтобы отомстить.",8.7,8.5,1300000
54,Человек-паук: Паутина вселенных,2023,United States,"Анимация, Боевик, Приключения","Путешествуя по мультивселенной, Майлз Моралес встречает новую команду Людей-Пауков, состоящую из героев из разных измерений. Но когда герои спорят о том, как справиться с новой угрозой, М...Читать полностью",8.3,8.5,514000
55,Новый кинотеатр «Парадизо»,1988,Italy,"Драма, Романтика","Сальваторе, известный кинорежиссер, возвращается в свой родной город на похороны киномеханика местного театра Альфредо. Он вспоминает свою жизнь, когда мальчиком влюбился в...Читать полностью",8.1,8.5,316000
56,Касабланка,1942,United States,"Драма, Романтика, Военный","Циничный американский владелец кафе-эмигрант из Америки пытается решить, стоит ли помогать его бывшей возлюбленной и ее беглому мужу сбежать от нацистов во Французском Марокко.",8.0,8.5,653000
57,1+1,2011,France,"Комедия, Драма","После того, как он стал парализованным из-за несчастного случая при полете на параплане, аристократ нанимает молодого человека из проекта в качестве его опекуна.",8.9,8.5,1000000
58,Подозрительные лица,1995,United States,"криминал, драма, мистика","Единственный выживший в перестрелке на пирсе рассказывает историю о том, как известный преступник повлиял на события, которые начались с того, что пять преступников встретились в, казалось бы, случайном порядке полицейских.",7.8,8.5,1200000
59,Чужой,1979,United Kingdom,"Ужасы, Научная фантастика","Расследуя загадочную передачу неизвестного происхождения, экипаж коммерческого космического корабля сталкивается со смертельной формой жизни.",8.1,8.5,1100000
60,Джанго освобождённый,2012,United States,"Драма, Вестерн",С помощью немецкого охотника за головами освобожденный раб намеревается спасти свою жену от жестокого владельца плантации в Миссисипи.,8.3,8.5,1900000
61,Окно во двор,1954,United States,"Драма, Мистика, Триллер","Скучающий фотограф, восстанавливающийся после перелома ноги, коротает время, наблюдая за своими соседями, и начинает подозревать одного из них в убийстве.",8.0,8.5,566000
62,Новые времена,1936,United States,"комедия, драма, романтика",Бродяга изо всех сил пытается выжить в современном индустриальном обществе с помощью молодой бездомной женщины.,8.1,8.5,284000
63,Однажды на Диком Западе,1968,Italy,"Драма, Вестерн","Таинственный незнакомец с губной гармошкой объединяется с известным отчаянным человеком, чтобы защитить прекрасную вдову и ее землю от безжалостного убийцы, нанятого железнодорожным магнатом.",8.0,8.5,382000
64,Огни большого города,1931,United States,"комедия, драма, романтика","С помощью богатого и эксцентричного пьяницы бродяга с розовыми глазами, влюбившийся в слепую цветочницу, накапливает деньги, чтобы помочь ей с медицинской точки зрения.",8.5,8.5,216000
65,Возмутительный класс не прошёл экзамен,1975,Turkey,Комедия,"Группа студентов провалила экзамены и должна вернуться еще на год. Их всех отвлекает новая молодая учительница, на которой они пробуют свои обычные трюки.",6.0,8.5,30000
66,Темный рыцарь: Возрождение легенды,2012,"США, Великобритания","фантастика, боевик, триллер, драма, криминал","Восемь лет назад Бэтмен растворился в ночи, превратившись из героя в беглеца. Приняв на себя вину за смерть прокурора Харви Дента, он пожертвовал всем. Вместе с комиссаром Гордоном они решили, что так будет лучше для всех. Пока преступность была раздавлена антикриминальным актом Дента, ложь действовала.

Тем не менее, еще опаснее становится появление нового врага Бэйна, чье лицо закрыто маской.  Он разворачивает в Готэме чудовищную деятельность, и это вынуждает Брюса Уэйна выйти из импровизированного изгнания. Однако даже надев свой костюм, Бэтмен может проиграть Бэйну. Но с появлением хитрой воровки по прозвищу Женщина — Кошка с загадочным прошлым всё меняется.",8.2,8.4,2000000
67,Мементо,2000,США,"триллер, детектив, драма, криминал","Леонард Шелби изысканно и дорого одет, ездит на новеньком «Ягуаре», но останавливается в дешевых мотелях. Он всеми силами пытается найти убийцу жены. Его проблема — редкая форма амнезии, потеря короткой памяти — помня все до убийства, он не помнит, что было 15 минут назад.",7.9,8.4,1400000
68,Апокалипсис сегодня,1979,United States,"Драма, Мистика, Военный","Офицеру армии США, служащему во Вьетнаме, поручено убить полковника спецназа-отступника, который считает себя богом.",8.1,8.4,767000
69,ВАЛЛ·И,2008,United States,"Анимация, Приключения, Семейный","Робот, который отвечает за очистку покрытой мусором Земли, встречает другого робота и влюбляется в нее. Вместе они отправляются в путешествие, которое изменит судьбу человечества.",8.4,8.4,1300000
70,Дюна: Часть вторая,2024,United States,"Боевик, Приключения, Драма","Пол Атрейдес объединяется с Свободными, находясь на тропе войны, чтобы отомстить заговорщикам, уничтожившим его семью. Перед выбором между любовью всей его жизни и судьбой Вселенной...Читать полностью",8.2,8.4,723000
71,Индиана Джонс: В поисках утраченного ковчега,1981,United States,"Боевики, Приключения","В 1936 году армейская разведка поручает археологу Индиане Джонсу помочь найти легендарную древнюю силу, Ковчег Завета, прежде чем нацисты захватят его первыми.",8.0,8.4,1100000
72,Мстители: Война бесконечности,2018,United States,"Боевики, Приключения, Научная фантастика","Мстители и их союзники должны быть готовы пожертвовать всем в попытке победить могущественного Таноса, прежде чем его разрушительная атака и разрушение положат конец вселенной.",8.1,8.4,1400000
73,Жизнь других,2006,Germany,"Драма, Мистика, Триллер","В 1984 году в Восточном Берлине агент тайной полиции, осуществляющий наблюдение за писателем и его возлюбленной, все больше погружается в их жизнь.",8.1,8.4,442000
74,Человек-паук: Через Вселенные,2018,Canada,"Анимация, Боевик, Приключения","Подросток Майлз Моралес становится Человеком-Пауком своей вселенной и должен объединиться с пятью существами с силой пауков из других измерений, чтобы остановить угрозу для всех реальностей.",8.2,8.4,780000
75,Сансет бульвар,1950,United States,"Драма, Фильм-Нуар","У сценариста завязываются опасные отношения с угасшей кинозвездой, намеревающейся триумфально вернуться.",8.0,8.4,260000
76,Свидетель обвинения,1957,United States,"криминал, драма, мистика","Британский адвокат-ветеран должен защищать своего клиента в суде по делу об убийстве, которое преподносит сюрприз за сюрпризом.",8.2,8.4,161000
77,Тропы славы,1957,United States,"Драма, Военный","Полковник защищает троих своих солдат перед военным трибуналом после того, как они отказались от самоубийственной атаки.",8.1,8.4,238000
78,Сияние,1980,United Kingdom,"Драма, Ужасы","Семья направляется на зиму в изолированный отель, где зловещее присутствие вынуждает отца к насилию. В то же время его сын-экстрасенс видит ужасающие предчувствия от обоих...Читать полностью",7.8,8.4,1200000
79,Великий диктатор,1940,United States,"комедия, драма, военный","Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований со стороны режима Хинкеля.",8.1,8.4,259000
80,Бесславные ублюдки,2009,United States,"приключения, драма, военный",В оккупированной нацистами Франции во время Второй мировой войны план убийства нацистских лидеров группой американских солдат-евреев совпадает с мстительными планами владельца театра.,8.0,8.4,1800000
81,Чужие,1986,United Kingdom,"Боевик, Приключения, Ужасы","Спустя десятилетия после того, как она пережила инцидент в Ностромо, Эллен Рипли отправляется восстановить контакт с терраформирующей колонией, но ей приходится сражаться с Королевой Чужих и ее потомством.",8.1,8.4,837000
82,Рай и ад,1963,Japan,"криминал, драма, мистика","Руководитель обувной компании в Иокогаме становится жертвой вымогательства, когда сына его шофера по ошибке похищают и удерживают с целью выкупа.",8.1,8.4,71000
83,Умница Уилл Хантинг,1997,United States,"Драма, Романтика","Психотерапевт консультирует Уилла Хантинга, уборщика с гениальным IQ.",8.1,8.4,1200000
84,Мстители: Финал,2019,United States,"Боевики, Приключения, Научная фантастика","После разрушительных событий Мстители: Война бесконечности (2018) Вселенная лежит в руинах. С помощью оставшихся союзников Мстители снова собираются, чтобы обратить вспять действия Таноса...Читать полностью",7.9,8.4,1400000
85,Тёмный рыцарь: Возрождение легенды,2012,United Kingdom,"Боевик, Криминал, Драма","Бэйн, внушительный террорист, нападает на Готэм-сити и нарушает восьмилетний период мира. Это вынуждает Брюса Уэйна выйти из укрытия и снова надеть плащ и капюшон Бэтмена.",8.2,8.4,2000000
86,Тайна Коко,2017,United States,"Анимация, Приключения, Драма","Начинающий музыкант Мигель, столкнувшись с наследственным запретом на музыку в своей семье, отправляется в Страну Мертвых, чтобы найти своего прапрадеда, легендарного певца.",8.7,8.4,700000
87,Амадей,1984,United States,"Биография, Драма, Музыка",Жизнь и творчество Вольфганга Амадея Моцарта глазами его современника и соперника Антонио Сальери.,8.2,8.4,466000
88,Твоё имя,2016,Japan,"Анимация, Драма, Фэнтези","Двое подростков разделяют глубокую магическую связь, когда обнаруживают, что меняются телами. Ситуация усложняется, когда мальчик и девочка решают встретиться лично.",8.4,8.4,387000
89,Три идиота,2009,India,"Комедия, Драма","Двое друзей ищут своего давно потерянного спутника. Они вспоминают свои студенческие годы и вспоминают своего друга, который вдохновил их думать по-другому, даже несмотря на то, что остальные...Читать полностью",8.1,8.4,478000
90,Проект «Конец света»,2026,United States,"приключения, комедия, научная фантастика","Учитель естественных наук просыпается один на космическом корабле. Когда к нему возвращается память, он узнает, что ему предстоит остановить загадочное вещество, убивающее Солнце Земли, и что неожиданная дружба может стать ...Читать все",8.4,8.4,127808
91,Капернаум,2018,Lebanon,Драма,"Отбывая пятилетний срок за насильственное преступление, 12-летний мальчик подает в суд на своих родителей за пренебрежение.",8.2,8.4,123000
92,Я ругаюсь,2025,United Kingdom,"Биография, Драма","Джон Дэвидсон: в молодом возрасте у него диагностировали синдром Туретта, который оттолкнул его от сверстников. Он боролся с заболеванием, свидетелями которого были немногие.",8.5,8.4,26000
93,Истребитель демонов: Бесконечная крепость,2025,Japan,"Анимация, Боевик, Приключения","Отряд Убийц Демонов втягивается в Бесконечный Замок, где Танджиро и Хашира сталкиваются с ужасающими демонами высшего ранга в отчаянной битве, поскольку финальная битва против Музана Кибуцудзи будет...Читать полностью",8.3,8.4,67000
